,Men.Index,Men.Variant,"Men.Region, subregion, country or area *",Men.Country code,Men.Type,Men.Reference date (as of 1 July),Men.Population Men,Women.Population Women,Total Population
2160,2145,Estimates,Singapore,702,Country/Area,2020,3062.257,2788.0859999999993,5850343.0
2175,2160,Estimates,Thailand,764,Country/Area,2020,33966.06,35833.918,69799978.0
2190,2175,Estimates,Timor-Leste,626,Country/Area,2020,666.2419999999998,652.1999999999999,1318442.0
2205,2190,Estimates,Viet Nam,704,Country/Area,2020,48598.25399999999,48740.32900000001,97338583.0
2250,2235,Estimates,Antigua and Barbuda,28,Country/Area,2020,47.269000000000005,50.659000000000006,97928.0
2265,2250,Estimates,Aruba,533,Country/Area,2020,50.641999999999996,56.12399999999998,106766.0
2280,2265,Estimates,Bahamas,44,Country/Area,2020,191.093,202.15499999999992,393248.0
2295,2280,Estimates,Barbados,52,Country/Area,2020,139.084,148.287,287371.0
2310,2295,Estimates,Cuba,192,Country/Area,2020,5623.468,5703.148000000002,11326616.0
2325,2310,Estimates,Curaçao,531,Country/Area,2020,75.46900000000001,88.63100000000001,164100.0
2340,2325,Estimates,Dominican Republic,214,Country/Area,2020,5418.206000000001,5429.698,10847904.0
2355,2340,Estimates,Grenada,308,Country/Area,2020,56.666,55.85300000000001,112519.0
2370,2355,Estimates,Guadeloupe,312,Country/Area,2020,184.556,215.57100000000003,400127.0
2385,2370,Estimates,Haiti,332,Country/Area,2020,5626.445,5776.0880000000025,11402533.0
2400,2385,Estimates,Jamaica,388,Country/Area,2020,1469.6409999999998,1491.5200000000002,2961161.0
2415,2400,Estimates,Martinique,474,Country/Area,2020,172.60699999999994,202.65799999999996,375265.0
2430,2415,Estimates,Puerto Rico,630,Country/Area,2020,1355.5179999999996,1505.3220000000003,2860840.0
2445,2430,Estimates,Saint Lucia,662,Country/Area,2020,90.42200000000003,93.207,183629.0
2460,2445,Estimates,Saint Vincent and the Grenadines,670,Country/Area,2020,56.218,54.729,110947.0
2475,2460,Estimates,Trinidad and Tobago,780,Country/Area,2020,690.9469999999999,708.5439999999998,1399491.0
2490,2475,Estimates,United States Virgin Islands,850,Country/Area,2020,49.60100000000001,54.822,104423.0
2520,2505,Estimates,Belize,84,Country/Area,2020,197.76100000000005,199.85999999999999,397621.0
2535,2520,Estimates,Costa Rica,188,Country/Area,2020,2545.076,2549.037999999999,5094114.0
2550,2535,Estimates,El Salvador,222,Country/Area,2020,3036.4239999999995,3449.7770000000005,6486201.0
2565,2550,Estimates,Guatemala,320,Country/Area,2020,8827.109,9088.457999999997,17915567.0
2580,2565,Estimates,Honduras,340,Country/Area,2020,4948.88,4955.728,9904608.0
2595,2580,Estimates,Mexico,484,Country/Area,2020,63071.486,65861.26699999999,128932753.0
2610,2595,Estimates,Nicaragua,558,Country/Area,2020,3264.849,3359.704999999999,6624554.0
2625,2610,Estimates,Panama,591,Country/Area,2020,2159.8799999999997,2154.888,4314768.0
2655,2640,Estimates,Argentina,32,Country/Area,2020,22049.146,23146.630999999998,45195777.0
2670,2655,Estimates,Bolivia,68,Country/Area,2020,5858.019,5815.01,11673029.0
2685,2670,Estimates,Brazil,76,Country/Area,2020,104435.78300000001,108123.626,212559409.0
2700,2685,Estimates,Chile,152,Country/Area,2020,9425.668999999998,9690.539999999999,19116209.0
2715,2700,Estimates,Colombia,170,Country/Area,2020,24984.564,25898.32,50882884.0
2730,2715,Estimates,Ecuador,218,Country/Area,2020,8823.827000000003,8819.232999999998,17643060.0
2745,2730,Estimates,French Guiana,254,Country/Area,2020,147.75,150.93199999999996,298682.0
2760,2745,Estimates,Guyana,328,Country/Area,2020,395.5489999999999,391.01,786559.0
2775,2760,Estimates,Paraguay,600,Country/Area,2020,3624.3599999999997,3508.1699999999996,7132530.0
2790,2775,Estimates,Peru,604,Country/Area,2020,16378.606000000003,16593.239999999998,32971846.0
2805,2790,Estimates,Suriname,740,Country/Area,2020,294.822,291.8119999999999,586634.0
2820,2805,Estimates,Uruguay,858,Country/Area,2020,1678.336,1795.3909999999998,3473727.0
2835,2820,Estimates,Venezuela,862,Country/Area,2020,13984.931999999995,14451.011000000004,28435943.0
2865,2850,Estimates,Australia,36,Country/Area,2020,12698.625,12801.256,25499881.0
2880,2865,Estimates,New Zealand,554,Country/Area,2020,2370.163,2452.0699999999993,4822233.0
2925,2910,Estimates,Fiji,242,Country/Area,2020,454.0179999999998,442.42600000000004,896444.0
2940,2925,Estimates,New Caledonia,540,Country/Area,2020,143.498,141.99300000000002,285491.0
2955,2940,Estimates,Papua New Guinea,598,Country/Area,2020,4568.072000000002,4378.955000000001,8947027.0
2970,2955,Estimates,Solomon Islands,90,Country/Area,2020,349.262,337.616,686878.0
2985,2970,Estimates,Vanuatu,548,Country/Area,2020,155.69,151.45999999999998,307150.0
3015,3000,Estimates,Guam,316,Country/Area,2020,85.14000000000001,83.64300000000001,168783.0
3030,3015,Estimates,Kiribati,296,Country/Area,2020,58.74399999999999,60.702000000000005,119446.0
3045,3030,Estimates,Micronesia (Fed. States of),583,Country/Area,2020,58.48000000000001,56.54100000000002,115021.0
3075,3060,Estimates,French Polynesia,258,Country/Area,2020,142.261,138.643,280904.0
3090,3075,Estimates,Samoa,882,Country/Area,2020,102.70299999999999,95.707,198410.0
3105,3090,Estimates,Tonga,776,Country/Area,2020,52.90400000000002,52.793000000000006,105697.0
3165,3150,Estimates,Belarus,112,Country/Area,2020,4399.366999999998,5049.954000000001,9449321.0
3180,3165,Estimates,Bulgaria,100,Country/Area,2020,3374.121,3574.3240000000005,6948445.0
3195,3180,Estimates,Czechia,203,Country/Area,2020,5272.522000000002,5436.460000000001,10708982.0
3210,3195,Estimates,Hungary,348,Country/Area,2020,4598.2880000000005,5062.061999999999,9660350.0
3225,3210,Estimates,Poland,616,Country/Area,2020,18337.883,19508.721999999998,37846605.0
3240,3225,Estimates,Republic of Moldova,498,Country/Area,2020,1931.9529999999997,2102.0099999999998,4033963.0
3255,3240,Estimates,Romania,642,Country/Area,2020,9353.912,9883.769999999999,19237682.0
3270,3255,Estimates,Russia,643,Country/Area,2020,67640.299,78294.16099999998,145934460.0
3285,3270,Estimates,Slovakia,703,Country/Area,2020,2658.479,2801.1640000000007,5459643.0
3300,3285,Estimates,Ukraine,804,Country/Area,2020,20263.148,23470.610999999997,43733759.0
3330,3315,Estimates,Channel Islands,830,Country/Area,2020,86.07,87.789,173859.0
3345,3330,Estimates,Denmark,208,Country/Area,2020,2879.361000000001,2912.8420000000006,5792203.0
3360,3345,Estimates,Estonia,233,Country/Area,2020,628.4560000000001,698.083,1326539.0
3375,3360,Estimates,Finland,246,Country/Area,2020,2732.406,2808.3120000000004,5540718.0
3390,3375,Estimates,Iceland,352,Country/Area,2020,171.405,169.845,341250.0
3405,3390,Estimates,Ireland,372,Country/Area,2020,2451.3489999999997,2486.447,4937796.0
3420,3405,Estimates,Latvia,428,Country/Area,2020,869.3359999999999,1016.8660000000003,1886202.0
3435,3420,Estimates,Lithuania,440,Country/Area,2020,1259.9869999999999,1462.304,2722291.0
3450,3435,Estimates,Norway,578,Country/Area,2020,2739.9829999999993,2681.259,5421242.0
3465,3450,Estimates,Sweden,752,Country/Area,2020,5058.947,5040.323000000002,10099270.0
3480,3465,Estimates,United Kingdom,826,Country/Area,2020,33542.41499999999,34343.58899999999,67886004.0
3510,3495,Estimates,Albania,8,Country/Area,2020,1464.7140000000002,1413.0860000000002,2877800.0
3525,3510,Estimates,Bosnia and Herzegovina,70,Country/Area,2020,1606.609,1674.206,3280815.0
3540,3525,Estimates,Croatia,191,Country/Area,2020,1979.2920000000001,2125.9759999999997,4105268.0
3555,3540,Estimates,Greece,300,Country/Area,2020,5115.825999999999,5307.2300000000005,10423056.0
3570,3555,Estimates,Italy,380,Country/Area,2020,29437.724999999995,31024.103000000003,60461828.0
3585,3570,Estimates,Malta,470,Country/Area,2020,221.41999999999993,220.119,441539.0
3600,3585,Estimates,Montenegro,499,Country/Area,2020,310.56299999999993,317.4989999999999,628062.0
3615,3600,Estimates,North Macedonia,807,Country/Area,2020,1042.131,1041.249,2083380.0
3630,3615,Estimates,Portugal,620,Country/Area,2020,4824.034000000001,5372.672999999999,10196707.0
3645,3630,Estimates,Serbia,688,Country/Area,2020,4279.650999999999,4457.718999999999,8737370.0
3660,3645,Estimates,Slovenia,705,Country/Area,2020,1035.2300000000002,1043.7020000000002,2078932.0
3675,3660,Estimates,Spain,724,Country/Area,2020,22978.338000000007,23776.445000000007,46754783.0
3705,3690,Estimates,Austria,40,Country/Area,2020,4439.691000000001,4566.709,9006400.0
3720,3705,Estimates,Belgium,56,Country/Area,2020,5744.334999999998,5845.281000000001,11589616.0
3735,3720,Estimates,France,250,Country/Area,2020,31589.195,33684.316999999995,65273512.0
3750,3735,Estimates,Germany,276,Country/Area,2020,41415.911,42368.03400000001,83783945.0
3765,3750,Estimates,Luxembourg,442,Country/Area,2020,316.58700000000005,309.389,625976.0
3780,3765,Estimates,Netherlands,528,Country/Area,2020,8537.145,8597.728,17134873.0
3795,3780,Estimates,Switzerland,756,Country/Area,2020,4293.648000000001,4360.969999999999,8654618.0
3825,3810,Estimates,Canada,124,Country/Area,2020,18732.177999999996,19009.978999999996,37742157.0
3840,3825,Estimates,United States,840,Country/Area,2020,163786.016,167216.631,331002647.0
